,day,item_number,item_name,purchase_price,suggested_retail_price,orders_quantity,sales_quantity
0,2021-04-03,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,40.0,17.0
1,2021-04-04,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
2,2021-04-05,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
3,2021-04-06,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,18.0
4,2021-04-07,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,10.0,5.0
5,2021-04-08,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,20.0,16.0
6,2021-04-09,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,19.0
7,2021-04-10,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,20.0,13.0
8,2021-04-11,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
9,2021-04-12,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,20.0,9.0
10,2021-04-13,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,10.0
11,2021-04-14,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,10.0,15.0
12,2021-04-15,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,30.0,12.0
13,2021-04-16,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,16.0
14,2021-04-17,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,30.0,13.0
15,2021-04-18,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
16,2021-04-19,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,30.0,6.0
17,2021-04-20,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,10.0,11.0
18,2021-04-21,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,10.0,10.0
19,2021-04-22,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,10.0,10.0
20,2021-04-23,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,21.0
21,2021-04-24,80317483,ROMA TOMATEN ES I 500G SF,0.99,1.49,0.0,10.0
22,2021-04-25,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
23,2021-04-26,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,0.0
24,2021-04-27,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
25,2021-04-28,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,7.0
26,2021-04-29,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,20.0
27,2021-04-30,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,26.0
28,2021-05-01,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
29,2021-05-02,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
30,2021-05-03,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,4.0
31,2021-05-04,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,10.0,4.0
32,2021-05-05,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,10.0,6.0
33,2021-05-06,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,6.0
34,2021-05-07,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,10.0,12.0
35,2021-05-08,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,19.0
36,2021-05-09,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
37,2021-05-10,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,30.0,4.0
38,2021-05-11,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,13.0
39,2021-05-12,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,10.0,23.0
40,2021-05-13,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
41,2021-05-14,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,30.0,22.0
42,2021-05-15,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,9.0
43,2021-05-16,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
44,2021-05-17,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,30.0,5.0
45,2021-05-18,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,5.0
46,2021-05-19,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,10.0,11.0
47,2021-05-20,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,20.0,11.0
48,2021-05-21,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,80.0,20.0
49,2021-05-22,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,18.0
50,2021-05-23,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
51,2021-05-24,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,0.0
52,2021-05-25,80317483,ROMA TOMATEN ES I 500G SF,0.978450704225352,1.5463380281690144,0.0,8.0
